"","Clus_1","Clus_2","Clus_3","Clus_4","Clus_5","Clus_6","Clustering"
"AP-LM-A",0.592675450972219,0.207636060610383,0.392664947165615,0.343719537019681,0.204365548639094,0.339739587161929,1
"CPA11",0.173750285851944,0.403492484698091,0.218047190048122,0.267574749144003,0.113823511653627,0.130280977170504,2
"CPA25",0.653798816783466,0.181253136543917,0.418835550508947,0.276027769412331,0.163984530927523,0.31569065678416,1
"CPA3",0.562843845700109,0.176503260485867,0.553769385939107,0.344539022881012,0.166366742477631,0.349003947790791,3
"CPA34",0.315847419370765,0.261846302083245,0.327360697996596,0.29374501160288,0.0953048755199675,0.0908622688972361,4
"CPA49",0.39498249674471,0.263571780222633,0.544126247065793,0.434879070768265,0.169885439689503,0.212987986422674,3
"CPA6",0.380477513615385,0.19117066254492,0.469713882566987,0.360025556861843,0.154376941398339,0.2253131039363,3
"CPC1",0.270252004381468,0.23998903549171,0.52633224105368,0.306146234807959,0.1280529920218,0.180302312260902,3
"CPC21",0.280504139143943,0.219086678230711,0.524538604539288,0.280044257505048,0.155392398878769,0.266427911799467,3
"CPC29",0.564305604639468,0.0881558686098598,0.395158980992844,0.193668117454702,0.129389421842312,0.300458632717596,1
"CPC5",0.434555255571998,0.185988950476226,0.596985584254027,0.311495347146129,0.154623683937799,0.29583171465415,3
"CU-LM-A",0.375579494949532,0.101533139953594,0.273818651670662,0.153005005539482,0.170216886462255,0.245430346870396,1
"DMG-LM-A",0.190174662336651,0.5714081245512,0.24086118353432,0.492318639796154,0.174057777357629,0.0839214981246013,2
"DMG-LM-B",0.251876604528597,0.517896635209567,0.328150844942387,0.583742969512762,0.171273048008348,0.0810630733414986,4
"DMG-LM-C",0.146756674096611,0.603918541125044,0.223295904220687,0.465797982506927,0.146674477943775,0.0834709063124139,2
"DMGA2",0.197321132584247,0.625080377492913,0.246314757344766,0.424971378504059,0.149547611678395,0.0890728589510315,2
"DMGA3",0.144695574852718,0.61851436099683,0.201348277505664,0.358434067394139,0.114998283333308,0.0761729791121785,2
"DMGA5",0.134302001151451,0.624094598711726,0.154160241000347,0.418899816167744,0.127839898243361,0.0474772829599357,2
"DMGA61",0.236239542464753,0.351589249182167,0.286561086346842,0.44264811803961,0.155023357158398,0.0755923312329647,4
"DMGA9",0.113288578179226,0.543588398091424,0.145727325109101,0.274599375436256,0.0960624268983869,0.0357788684798773,2
"FFA1",0.143715146558895,0.127564966809796,0.151490318587604,0.155804342022805,0.553364249760054,0.0902488796662821,5
"FFA2",0.187113362285794,0.166455600287041,0.206922289169687,0.231183747495071,0.611575277388688,0.139071256534684,5
"FFA23",0.120554632813179,0.116103441151145,0.130935672118731,0.14782755274309,0.602977137777648,0.184681690456723,5
"FFA24",0.175377235746376,0.187550090687256,0.14721587059936,0.243718731922012,0.522537118519005,0.100975622866596,5
"FFA27",0.269172737733877,0.389908553944798,0.28484772462822,0.457335649919519,0.287309313973517,0.0749532219717476,4
"FFA5",0.159856661535727,0.0806325014781589,0.157157693422997,0.109701855411897,0.534056840118936,0.162839768213662,5
"LM1-APAD",0.382701374390387,0.176930237091411,0.392925317804052,0.282959473746392,0.182512383053891,0.394735835696935,3
"LM12-APAD",0.356441371224935,0.0682770850853624,0.311968607822806,0.101466171896916,0.133658297809974,0.54039023605733,6
"LM2-APAD",0.237800848323894,0.373023458449132,0.331469475524379,0.524463248394738,0.167707121670683,0.08305852797887,4
"LM7-APAD",0.0858290639174552,0.0733331614687971,0.186738540639682,0.0792157445655748,0.114387462291471,0.346558114761019,6
"LM8-APAD",0.393417864870759,0.0854279647525093,0.326122628349463,0.124085054937246,0.158644570541323,0.523880921326516,6
"MG-LM-A",0.317436456434835,0.349847722259944,0.344773618496159,0.558257690433082,0.192780377973423,0.111837175122961,4
"MG-LM-B",0.288204511054657,0.436297447274441,0.399495126449188,0.606045792342423,0.196634881249877,0.100681629248373,4
"MGA1",0.616347417527332,0.235892869439962,0.414476887915255,0.347347575373606,0.213284650970824,0.307347630812091,1
"MGA14",0.202906059056119,0.610635442205465,0.231091526429539,0.447372272287915,0.162286573552952,0.0592598590405749,2
"MGA21",0.21939247862422,0.442667588604536,0.271785148880144,0.464594606219192,0.185077821533,0.0969190184173806,4
"MGA36",0.241508427947797,0.464690499991923,0.300216408706986,0.570767728384326,0.169217745571385,0.0954230609443133,4
"MGA4",0.268589064708066,0.509749934275786,0.363237432096286,0.479235417536954,0.191949158751413,0.132348918414298,4
"NFA01",0.661173658733408,0.0966864325594468,0.350695897513371,0.229251730610154,0.130295674983781,0.271396409259681,1
"NFA07",0.555371908562984,0.199128627780827,0.447618861139719,0.414883570121515,0.1386978534401,0.234153670781885,1
"NFA25",0.455444471852699,0.233688995425606,0.407956521773259,0.429142017900707,0.141842003698713,0.174739669562727,4
"NFC01",0.639922453385336,0.0799545621808932,0.328960235042894,0.163718972358651,0.135060606918745,0.288909463721855,1
"NFC06",0.546547147185986,0.275853641443706,0.457319940326692,0.415978910055101,0.130615495907315,0.203938501929857,1
